id,name,pharmacy_id,description,total,year_month_value,year
293,Impôt sur les Sociétés (IS),152,Declaration fiscale Trimestre 4,605.0,2026-01,2026
294,Cotisation Minimale,49,Declaration fiscale Trimestre 4,2535.9,2026-02,2026
295,Taxe Services Communaux (TSC),382,Declaration fiscale Trimestre 2,13583.67,2026-05,2026
296,Taxe Professionnelle,156,Declaration fiscale Trimestre 3,6201.34,2026-02,2026
297,Impôt sur les Sociétés (IS),225,Declaration fiscale Trimestre 4,6339.71,2026-05,2026
298,Cotisation Minimale,160,Declaration fiscale Trimestre 1,6472.87,2026-03,2026
299,Impôt sur les Sociétés (IS),376,Declaration fiscale Trimestre 4,13245.75,2026-06,2026
300,Taxe Services Communaux (TSC),508,Declaration fiscale Trimestre 1,13850.46,2026-11,2026
301,TVA (Taxe sur la Valeur Ajoutée),451,Declaration fiscale Trimestre 1,1193.26,2026-08,2026
302,Cotisation Minimale,384,Declaration fiscale Trimestre 3,7356.97,2026-01,2026
303,Taxe Professionnelle,520,Declaration fiscale Trimestre 2,14753.42,2026-06,2026
304,Taxe Services Communaux (TSC),262,Declaration fiscale Trimestre 2,6992.2,2026-12,2026
305,Taxe Services Communaux (TSC),74,Declaration fiscale Trimestre 3,12835.05,2026-02,2026
306,Taxe Services Communaux (TSC),110,Declaration fiscale Trimestre 1,10824.02,2026-12,2026
307,Cotisation Minimale,83,Declaration fiscale Trimestre 4,12065.46,2026-08,2026
308,TVA (Taxe sur la Valeur Ajoutée),369,Declaration fiscale Trimestre 1,8021.55,2026-09,2026
309,Taxe Professionnelle,242,Declaration fiscale Trimestre 2,7104.17,2026-07,2026
310,TVA (Taxe sur la Valeur Ajoutée),516,Declaration fiscale Trimestre 4,1201.49,2026-05,2026
311,Taxe Services Communaux (TSC),81,Declaration fiscale Trimestre 3,12898.79,2026-06,2026
312,TVA (Taxe sur la Valeur Ajoutée),10,Declaration fiscale Trimestre 1,12461.65,2026-03,2026
313,Taxe Services Communaux (TSC),72,Declaration fiscale Trimestre 3,859.47,2026-05,2026
314,Impôt sur les Sociétés (IS),444,Declaration fiscale Trimestre 3,12091.83,2026-11,2026
315,TVA (Taxe sur la Valeur Ajoutée),199,Declaration fiscale Trimestre 4,13837.33,2026-01,2026
316,Taxe Services Communaux (TSC),65,Declaration fiscale Trimestre 3,6460.71,2026-09,2026
317,Cotisation Minimale,85,Declaration fiscale Trimestre 1,2297.6,2026-04,2026
318,Impôt sur les Sociétés (IS),178,Declaration fiscale Trimestre 2,7168.72,2026-08,2026
319,Taxe Professionnelle,457,Declaration fiscale Trimestre 4,2240.47,2026-09,2026
320,TVA (Taxe sur la Valeur Ajoutée),282,Declaration fiscale Trimestre 4,261.09,2026-04,2026
321,Taxe Professionnelle,404,Declaration fiscale Trimestre 1,11264.27,2026-02,2026
322,Taxe Professionnelle,132,Declaration fiscale Trimestre 4,5938.02,2026-07,2026
323,Taxe Professionnelle,398,Declaration fiscale Trimestre 2,972.59,2026-03,2026
324,Taxe Professionnelle,297,Declaration fiscale Trimestre 2,13055.52,2026-02,2026
325,Cotisation Minimale,512,Declaration fiscale Trimestre 4,3592.19,2026-05,2026
326,Cotisation Minimale,513,Declaration fiscale Trimestre 4,14994.29,2026-03,2026
327,TVA (Taxe sur la Valeur Ajoutée),84,Declaration fiscale Trimestre 1,3191.56,2026-09,2026
328,Taxe Services Communaux (TSC),534,Declaration fiscale Trimestre 3,3042.98,2026-10,2026
329,TVA (Taxe sur la Valeur Ajoutée),197,Declaration fiscale Trimestre 3,13907.2,2026-10,2026
330,Taxe Services Communaux (TSC),256,Declaration fiscale Trimestre 4,13645.65,2026-03,2026
331,Impôt sur les Sociétés (IS),458,Declaration fiscale Trimestre 2,4595.82,2026-12,2026
332,Cotisation Minimale,128,Declaration fiscale Trimestre 4,8099.96,2026-11,2026
333,Taxe Professionnelle,219,Declaration fiscale Trimestre 1,11864.02,2026-12,2026
334,Taxe Professionnelle,134,Declaration fiscale Trimestre 2,9717.76,2026-03,2026
335,Cotisation Minimale,188,Declaration fiscale Trimestre 4,4930.65,2026-04,2026
336,Taxe Professionnelle,543,Declaration fiscale Trimestre 4,933.32,2026-02,2026
337,Impôt sur les Sociétés (IS),289,Declaration fiscale Trimestre 1,11997.39,2026-06,2026
338,Impôt sur les Sociétés (IS),498,Declaration fiscale Trimestre 3,5407.9,2026-06,2026
339,Impôt sur les Sociétés (IS),116,Declaration fiscale Trimestre 2,6431.03,2026-03,2026
340,TVA (Taxe sur la Valeur Ajoutée),489,Declaration fiscale Trimestre 1,11988.89,2026-10,2026
341,Impôt sur les Sociétés (IS),121,Declaration fiscale Trimestre 3,10182.13,2026-03,2026
342,Taxe Services Communaux (TSC),101,Declaration fiscale Trimestre 4,12311.23,2026-01,2026
343,Cotisation Minimale,431,Declaration fiscale Trimestre 4,11312.69,2026-08,2026
344,Taxe Professionnelle,392,Declaration fiscale Trimestre 1,208.09,2026-12,2026
345,Impôt sur les Sociétés (IS),351,Declaration fiscale Trimestre 4,9177.85,2026-06,2026
346,Taxe Services Communaux (TSC),379,Declaration fiscale Trimestre 2,7097.34,2026-03,2026
347,Taxe Professionnelle,171,Declaration fiscale Trimestre 4,12764.85,2026-08,2026
348,Cotisation Minimale,354,Declaration fiscale Trimestre 2,6875.06,2026-12,2026
349,Impôt sur les Sociétés (IS),281,Declaration fiscale Trimestre 4,10909.68,2026-05,2026
350,Taxe Professionnelle,163,Declaration fiscale Trimestre 4,13636.08,2026-02,2026
351,TVA (Taxe sur la Valeur Ajoutée),298,Declaration fiscale Trimestre 2,6361.82,2026-06,2026
352,TVA (Taxe sur la Valeur Ajoutée),62,Declaration fiscale Trimestre 1,11692.49,2026-03,2026
353,Cotisation Minimale,383,Declaration fiscale Trimestre 2,12981.74,2026-06,2026
354,TVA (Taxe sur la Valeur Ajoutée),138,Declaration fiscale Trimestre 4,13685.94,2026-12,2026
355,Cotisation Minimale,364,Declaration fiscale Trimestre 2,7712.29,2026-09,2026
356,Cotisation Minimale,484,Declaration fiscale Trimestre 1,14096.45,2026-12,2026
357,Impôt sur les Sociétés (IS),36,Declaration fiscale Trimestre 1,3238.76,2026-11,2026
358,Impôt sur les Sociétés (IS),402,Declaration fiscale Trimestre 4,8439.6,2026-08,2026
359,Taxe Services Communaux (TSC),228,Declaration fiscale Trimestre 4,5827.64,2026-03,2026
360,Impôt sur les Sociétés (IS),408,Declaration fiscale Trimestre 1,293.01,2026-03,2026
361,Cotisation Minimale,250,Declaration fiscale Trimestre 1,8277.38,2026-12,2026
362,Impôt sur les Sociétés (IS),308,Declaration fiscale Trimestre 4,9214.97,2026-01,2026
363,Impôt sur les Sociétés (IS),39,Declaration fiscale Trimestre 3,11806.79,2026-01,2026
364,Cotisation Minimale,280,Declaration fiscale Trimestre 1,6255.31,2026-06,2026
365,Taxe Professionnelle,339,Declaration fiscale Trimestre 4,9576.22,2026-01,2026
366,Taxe Services Communaux (TSC),11,Declaration fiscale Trimestre 4,1316.3,2026-03,2026
367,Impôt sur les Sociétés (IS),41,Declaration fiscale Trimestre 1,14831.3,2026-11,2026
368,TVA (Taxe sur la Valeur Ajoutée),498,Declaration fiscale Trimestre 1,14605.21,2026-10,2026
369,Impôt sur les Sociétés (IS),251,Declaration fiscale Trimestre 4,2409.52,2026-10,2026
370,Taxe Services Communaux (TSC),495,Declaration fiscale Trimestre 3,290.01,2026-02,2026
371,Cotisation Minimale,538,Declaration fiscale Trimestre 3,7206.9,2026-10,2026
372,Impôt sur les Sociétés (IS),218,Declaration fiscale Trimestre 1,11797.05,2026-08,2026
373,TVA (Taxe sur la Valeur Ajoutée),372,Declaration fiscale Trimestre 3,4971.07,2026-12,2026
374,TVA (Taxe sur la Valeur Ajoutée),432,Declaration fiscale Trimestre 3,3375.49,2026-12,2026
375,Cotisation Minimale,542,Declaration fiscale Trimestre 2,7889.26,2026-04,2026
376,Taxe Services Communaux (TSC),473,Declaration fiscale Trimestre 1,799.88,2026-04,2026
377,Impôt sur les Sociétés (IS),108,Declaration fiscale Trimestre 4,8361.3,2026-08,2026
378,Cotisation Minimale,503,Declaration fiscale Trimestre 3,7445.22,2026-03,2026
379,Cotisation Minimale,471,Declaration fiscale Trimestre 2,9581.5,2026-02,2026
380,Taxe Professionnelle,54,Declaration fiscale Trimestre 4,5246.53,2026-11,2026
381,Taxe Services Communaux (TSC),417,Declaration fiscale Trimestre 1,5817.28,2026-06,2026
382,Impôt sur les Sociétés (IS),103,Declaration fiscale Trimestre 2,12567.94,2026-09,2026
383,Cotisation Minimale,210,Declaration fiscale Trimestre 2,2628.65,2026-01,2026
384,Impôt sur les Sociétés (IS),412,Declaration fiscale Trimestre 2,518.46,2026-07,2026
385,Taxe Services Communaux (TSC),500,Declaration fiscale Trimestre 2,9318.18,2026-11,2026
386,Taxe Professionnelle,427,Declaration fiscale Trimestre 1,8964.65,2026-09,2026
387,TVA (Taxe sur la Valeur Ajoutée),30,Declaration fiscale Trimestre 2,12887.37,2026-05,2026
388,Taxe Professionnelle,413,Declaration fiscale Trimestre 2,10883.18,2026-12,2026
389,TVA (Taxe sur la Valeur Ajoutée),181,Declaration fiscale Trimestre 4,4817.86,2026-09,2026
390,Taxe Professionnelle,56,Declaration fiscale Trimestre 2,1303.02,2026-10,2026
391,Taxe Professionnelle,174,Declaration fiscale Trimestre 4,4868.15,2026-02,2026
392,TVA (Taxe sur la Valeur Ajoutée),453,Declaration fiscale Trimestre 4,2784.16,2026-09,2026
393,Taxe Professionnelle,354,Declaration fiscale Trimestre 4,8062.43,2026-11,2026
394,Taxe Professionnelle,426,Declaration fiscale Trimestre 1,2086.18,2026-07,2026
395,Impôt sur les Sociétés (IS),226,Declaration fiscale Trimestre 2,12660.88,2026-01,2026
396,Taxe Services Communaux (TSC),50,Declaration fiscale Trimestre 1,1213.45,2026-03,2026
397,Cotisation Minimale,110,Declaration fiscale Trimestre 2,13783.98,2026-02,2026
398,TVA (Taxe sur la Valeur Ajoutée),492,Declaration fiscale Trimestre 2,7968.86,2026-04,2026
399,TVA (Taxe sur la Valeur Ajoutée),79,Declaration fiscale Trimestre 2,2663.59,2026-09,2026
400,Impôt sur les Sociétés (IS),204,Declaration fiscale Trimestre 4,5382.49,2026-03,2026
401,TVA (Taxe sur la Valeur Ajoutée),62,Declaration fiscale Trimestre 1,669.7,2026-03,2026
402,Impôt sur les Sociétés (IS),341,Declaration fiscale Trimestre 2,13637.1,2026-11,2026
403,Impôt sur les Sociétés (IS),53,Declaration fiscale Trimestre 1,8918.45,2026-01,2026
404,TVA (Taxe sur la Valeur Ajoutée),69,Declaration fiscale Trimestre 4,1927.87,2026-10,2026
405,TVA (Taxe sur la Valeur Ajoutée),523,Declaration fiscale Trimestre 3,9491.1,2026-09,2026
406,TVA (Taxe sur la Valeur Ajoutée),331,Declaration fiscale Trimestre 1,10029.21,2026-02,2026
407,TVA (Taxe sur la Valeur Ajoutée),170,Declaration fiscale Trimestre 2,10935.94,2026-05,2026
408,TVA (Taxe sur la Valeur Ajoutée),78,Declaration fiscale Trimestre 1,14649.58,2026-06,2026
409,Taxe Services Communaux (TSC),340,Declaration fiscale Trimestre 1,14830.55,2026-09,2026
410,Taxe Services Communaux (TSC),479,Declaration fiscale Trimestre 1,3087.74,2026-03,2026
411,Cotisation Minimale,497,Declaration fiscale Trimestre 2,8454.19,2026-01,2026
412,Cotisation Minimale,97,Declaration fiscale Trimestre 3,9156.2,2026-08,2026
413,Taxe Services Communaux (TSC),111,Declaration fiscale Trimestre 1,666.42,2026-04,2026
414,TVA (Taxe sur la Valeur Ajoutée),311,Declaration fiscale Trimestre 1,3986.15,2026-06,2026
415,Cotisation Minimale,514,Declaration fiscale Trimestre 1,11857.4,2026-12,2026
416,Taxe Services Communaux (TSC),66,Declaration fiscale Trimestre 1,8577.11,2026-06,2026
417,Taxe Professionnelle,303,Declaration fiscale Trimestre 2,5221.8,2026-09,2026
418,TVA (Taxe sur la Valeur Ajoutée),164,Declaration fiscale Trimestre 4,5168.16,2026-10,2026
419,Taxe Services Communaux (TSC),190,Declaration fiscale Trimestre 3,13869.81,2026-04,2026
420,Cotisation Minimale,58,Declaration fiscale Trimestre 3,2911.34,2026-08,2026
421,Taxe Professionnelle,316,Declaration fiscale Trimestre 4,5196.41,2026-04,2026
422,TVA (Taxe sur la Valeur Ajoutée),496,Declaration fiscale Trimestre 2,5469.55,2026-10,2026
423,Taxe Professionnelle,387,Declaration fiscale Trimestre 3,12684.58,2026-07,2026
424,Impôt sur les Sociétés (IS),541,Declaration fiscale Trimestre 3,7688.72,2026-11,2026
425,TVA (Taxe sur la Valeur Ajoutée),381,Declaration fiscale Trimestre 3,6863.05,2026-02,2026
426,Taxe Services Communaux (TSC),24,Declaration fiscale Trimestre 4,12685.64,2026-02,2026
427,Taxe Services Communaux (TSC),437,Declaration fiscale Trimestre 4,13659.02,2026-06,2026
428,TVA (Taxe sur la Valeur Ajoutée),60,Declaration fiscale Trimestre 4,1730.52,2026-08,2026
429,Impôt sur les Sociétés (IS),177,Declaration fiscale Trimestre 1,3898.33,2026-01,2026
430,Taxe Professionnelle,358,Declaration fiscale Trimestre 2,8515.24,2026-08,2026
431,Taxe Professionnelle,513,Declaration fiscale Trimestre 1,4963.83,2026-09,2026
432,Cotisation Minimale,22,Declaration fiscale Trimestre 1,10873.06,2026-08,2026
433,Cotisation Minimale,394,Declaration fiscale Trimestre 1,13803.23,2026-11,2026
434,Cotisation Minimale,1,Declaration fiscale Trimestre 1,12358.12,2026-07,2026
435,Taxe Professionnelle,267,Declaration fiscale Trimestre 4,5043.55,2026-06,2026
436,Taxe Services Communaux (TSC),305,Declaration fiscale Trimestre 1,4026.08,2026-01,2026
437,Taxe Professionnelle,269,Declaration fiscale Trimestre 3,6278.61,2026-05,2026
438,Taxe Professionnelle,410,Declaration fiscale Trimestre 4,2783.37,2026-10,2026
439,Cotisation Minimale,353,Declaration fiscale Trimestre 1,8859.76,2026-04,2026
440,Cotisation Minimale,111,Declaration fiscale Trimestre 2,8107.08,2026-12,2026
441,Taxe Professionnelle,287,Declaration fiscale Trimestre 3,14249.61,2026-04,2026
442,Impôt sur les Sociétés (IS),185,Declaration fiscale Trimestre 2,7039.83,2026-06,2026
443,Taxe Services Communaux (TSC),92,Declaration fiscale Trimestre 2,5668.75,2026-08,2026
444,Cotisation Minimale,422,Declaration fiscale Trimestre 1,13776.54,2026-10,2026
445,TVA (Taxe sur la Valeur Ajoutée),60,Declaration fiscale Trimestre 1,3234.42,2026-07,2026
446,Taxe Professionnelle,505,Declaration fiscale Trimestre 4,1198.99,2026-02,2026
447,Taxe Services Communaux (TSC),473,Declaration fiscale Trimestre 2,8660.03,2026-09,2026
448,TVA (Taxe sur la Valeur Ajoutée),59,Declaration fiscale Trimestre 4,14285.76,2026-04,2026
449,Impôt sur les Sociétés (IS),306,Declaration fiscale Trimestre 1,12271.73,2026-03,2026
450,Cotisation Minimale,6,Declaration fiscale Trimestre 4,14174.28,2026-01,2026
451,Impôt sur les Sociétés (IS),27,Declaration fiscale Trimestre 3,6242.89,2026-11,2026
452,Taxe Services Communaux (TSC),4,Declaration fiscale Trimestre 3,13278.77,2026-07,2026
453,Taxe Services Communaux (TSC),530,Declaration fiscale Trimestre 1,14056.0,2026-01,2026
454,Impôt sur les Sociétés (IS),379,Declaration fiscale Trimestre 2,12952.44,2026-03,2026
455,Cotisation Minimale,467,Declaration fiscale Trimestre 2,7008.98,2026-09,2026
456,Impôt sur les Sociétés (IS),27,Declaration fiscale Trimestre 4,9952.34,2026-09,2026
457,TVA (Taxe sur la Valeur Ajoutée),28,Declaration fiscale Trimestre 2,14996.21,2026-05,2026
458,Taxe Services Communaux (TSC),107,Declaration fiscale Trimestre 4,6827.28,2026-02,2026
459,Taxe Professionnelle,511,Declaration fiscale Trimestre 4,11466.23,2026-03,2026
460,Cotisation Minimale,16,Declaration fiscale Trimestre 3,13529.33,2026-01,2026
461,TVA (Taxe sur la Valeur Ajoutée),119,Declaration fiscale Trimestre 2,5079.72,2026-04,2026
462,Taxe Services Communaux (TSC),289,Declaration fiscale Trimestre 4,489.46,2026-09,2026
463,Impôt sur les Sociétés (IS),326,Declaration fiscale Trimestre 1,2724.47,2026-09,2026
464,Taxe Professionnelle,461,Declaration fiscale Trimestre 3,10699.21,2026-02,2026
465,TVA (Taxe sur la Valeur Ajoutée),353,Declaration fiscale Trimestre 4,5500.82,2026-08,2026
466,Taxe Services Communaux (TSC),102,Declaration fiscale Trimestre 3,14499.37,2026-04,2026
467,TVA (Taxe sur la Valeur Ajoutée),11,Declaration fiscale Trimestre 4,3998.44,2026-12,2026
468,Taxe Professionnelle,523,Declaration fiscale Trimestre 2,6655.62,2026-09,2026
469,TVA (Taxe sur la Valeur Ajoutée),84,Declaration fiscale Trimestre 2,709.52,2026-03,2026
470,TVA (Taxe sur la Valeur Ajoutée),327,Declaration fiscale Trimestre 2,6187.01,2026-12,2026
471,TVA (Taxe sur la Valeur Ajoutée),496,Declaration fiscale Trimestre 4,10341.72,2026-03,2026
472,Impôt sur les Sociétés (IS),505,Declaration fiscale Trimestre 3,10253.55,2026-10,2026
473,Cotisation Minimale,444,Declaration fiscale Trimestre 4,2282.17,2026-02,2026
474,TVA (Taxe sur la Valeur Ajoutée),447,Declaration fiscale Trimestre 4,3821.43,2026-01,2026
475,Cotisation Minimale,460,Declaration fiscale Trimestre 3,8923.72,2026-06,2026
476,Taxe Professionnelle,123,Declaration fiscale Trimestre 3,1804.16,2026-03,2026
477,Cotisation Minimale,81,Declaration fiscale Trimestre 4,7785.96,2026-01,2026
478,Taxe Professionnelle,338,Declaration fiscale Trimestre 4,1249.82,2026-02,2026
479,TVA (Taxe sur la Valeur Ajoutée),202,Declaration fiscale Trimestre 4,6494.32,2026-10,2026
480,Taxe Services Communaux (TSC),420,Declaration fiscale Trimestre 3,7705.06,2026-02,2026
481,TVA (Taxe sur la Valeur Ajoutée),539,Declaration fiscale Trimestre 2,12091.25,2026-09,2026
482,TVA (Taxe sur la Valeur Ajoutée),432,Declaration fiscale Trimestre 1,9821.04,2026-07,2026
483,TVA (Taxe sur la Valeur Ajoutée),136,Declaration fiscale Trimestre 3,5251.35,2026-08,2026
484,Taxe Services Communaux (TSC),353,Declaration fiscale Trimestre 3,8690.57,2026-01,2026
485,TVA (Taxe sur la Valeur Ajoutée),491,Declaration fiscale Trimestre 2,12572.76,2026-10,2026
486,Impôt sur les Sociétés (IS),60,Declaration fiscale Trimestre 2,4191.82,2026-07,2026
487,Impôt sur les Sociétés (IS),315,Declaration fiscale Trimestre 2,4263.84,2026-11,2026
488,Cotisation Minimale,535,Declaration fiscale Trimestre 3,10379.38,2026-03,2026
489,Cotisation Minimale,87,Declaration fiscale Trimestre 1,7766.07,2026-06,2026
490,TVA (Taxe sur la Valeur Ajoutée),501,Declaration fiscale Trimestre 3,12473.6,2026-08,2026
491,Taxe Professionnelle,321,Declaration fiscale Trimestre 4,8811.12,2026-07,2026
492,Cotisation Minimale,71,Declaration fiscale Trimestre 4,11458.86,2026-04,2026
493,Taxe Professionnelle,63,Declaration fiscale Trimestre 1,7121.79,2026-04,2026
494,Taxe Professionnelle,403,Declaration fiscale Trimestre 3,13342.34,2026-12,2026
495,Taxe Services Communaux (TSC),4,Declaration fiscale Trimestre 1,2013.37,2026-04,2026
496,Cotisation Minimale,184,Declaration fiscale Trimestre 4,9792.9,2026-07,2026
497,Impôt sur les Sociétés (IS),456,Declaration fiscale Trimestre 4,1533.31,2026-03,2026
498,Taxe Professionnelle,318,Declaration fiscale Trimestre 4,7218.99,2026-10,2026
499,Taxe Services Communaux (TSC),45,Declaration fiscale Trimestre 1,3483.07,2026-11,2026
500,Cotisation Minimale,547,Declaration fiscale Trimestre 4,2148.17,2026-01,2026
501,Taxe Professionnelle,82,Declaration fiscale Trimestre 1,13726.82,2026-06,2026
502,TVA (Taxe sur la Valeur Ajoutée),143,Declaration fiscale Trimestre 4,5166.95,2026-08,2026
503,Taxe Services Communaux (TSC),120,Declaration fiscale Trimestre 1,6156.35,2026-03,2026
504,Taxe Services Communaux (TSC),434,Declaration fiscale Trimestre 4,5488.63,2026-05,2026
505,Impôt sur les Sociétés (IS),257,Declaration fiscale Trimestre 1,4395.24,2026-07,2026
506,Cotisation Minimale,86,Declaration fiscale Trimestre 1,3382.35,2026-11,2026
507,Impôt sur les Sociétés (IS),463,Declaration fiscale Trimestre 2,6479.73,2026-08,2026
508,Taxe Services Communaux (TSC),508,Declaration fiscale Trimestre 1,2561.87,2026-06,2026
509,Taxe Professionnelle,307,Declaration fiscale Trimestre 4,6602.29,2026-02,2026
510,TVA (Taxe sur la Valeur Ajoutée),330,Declaration fiscale Trimestre 3,7218.11,2026-05,2026
